company_id,year,total_assets,equity,total_liabilities,current_assets,current_liabilities,cash_and_equivalents,short_term_debt,long_term_debt,revenue,gross_profit,net_income,selling_expenses,admin_expenses,interest_expenses,cashflow_ops,cashflow_investing,cashflow_financing
VNM,2023,49264785492099.0,34510226162818.0,14754559329281.0,32394853632375.0,14407882880499.0,2011202511723.0,6889265980740.0,61054012500.0,13954019633882.0,5398026311659.0,1906226399078.0,2942150310906.0,388784710409.0,158240818929.0,128788940445.0,474757347987.0,-890593384062.0
VNM,2024,51653869771730.0,35867590635494.0,15786279136236.0,35013917574413.0,15294387986523.0,1788254863348.0,6616831614710.0,211808624280.0,14124890259766.0,5911521444565.0,2206983369589.0,3095275281176.0,395914155553.0,102489879376.0,907549198441.0,-27412446130.0,-2007604609500.0
